total_harga_pembelian,sumber,browser,gender,umur,selisih_waktu,day_regis,month_regis,year_regis,hour_regis,day_buy,month_buy,year_buy,hour_buy,sama,sama_ip,fraud
9,0,1,1,30,-2609.85,6,2,2015,7,26,5,2015,1,1,1,0
21,1,0,0,30,-1348.7833333333333,18,7,2015,6,12,9,2015,11,1,1,0
17,0,2,0,28,-1802.9833333333331,1,5,2015,18,15,7,2015,21,1,1,0
30,2,2,1,43,-897.1333333333333,28,3,2015,3,4,5,2015,12,1,1,0
25,0,0,0,26,-1529.0666666666666,3,8,2015,11,6,10,2015,4,1,1,0
36,0,0,0,31,-1455.15,31,3,2015,21,31,5,2015,12,1,1,0
12,0,0,1,24,-130.08333333333334,2,5,2015,11,7,5,2015,21,1,1,0
10,2,0,0,24,-2242.6,27,5,2015,14,29,8,2015,1,1,1,0
32,1,4,1,30,-1477.4333333333334,6,2,2015,23,9,4,2015,12,1,1,0
75,0,0,1,27,-116.2,5,6,2015,5,10,6,2015,1,1,1,0
38,2,2,0,44,-672.7,10,5,2015,7,7,6,2015,8,1,1,0
55,0,0,0,21,-408.03333333333336,11,4,2015,7,28,4,2015,7,1,1,0
60,0,1,0,36,-544.0166666666667,8,6,2015,23,1,7,2015,15,1,1,0
48,2,4,1,33,-2252.9,15,4,2015,3,18,7,2015,0,1,1,0
10,2,0,1,29,-2379.95,22,6,2015,2,29,9,2015,6,1,1,0
10,2,2,1,35,-1102.0666666666666,27,1,2015,0,13,3,2015,22,1,1,0
25,1,0,1,43,-1598.0166666666669,23,3,2015,2,28,5,2015,16,1,1,0
20,1,1,0,47,-1627.3833333333334,16,4,2015,18,23,6,2015,13,1,1,0
10,1,0,1,32,-2130.583333333333,25,5,2015,11,22,8,2015,5,1,1,0
34,2,2,1,20,-2021.75,22,6,2015,1,14,9,2015,6,1,1,0
44,2,0,0,43,-2321.65,8,6,2015,12,13,9,2015,6,1,1,0
26,2,4,1,27,-788.6,2,6,2015,14,5,7,2015,11,1,1,0
41,1,1,1,30,-2166.833333333333,8,2,2015,17,9,5,2015,23,1,1,0
30,2,3,1,24,-1933.3,20,3,2015,2,8,6,2015,15,1,1,0
70,1,0,1,31,0.0,9,1,2015,17,9,1,2015,17,1,1,1
25,2,0,1,30,-1130.9,29,4,2015,19,15,6,2015,22,1,1,0
56,0,2,1,23,-162.8,6,6,2015,14,13,6,2015,8,1,1,0
41,1,2,1,21,-302.5,27,6,2015,17,10,7,2015,8,1,1,0
54,1,0,1,44,-1847.15,2,5,2015,19,18,7,2015,18,1,1,0
44,0,4,1,35,-2875.4333333333334,7,5,2015,5,4,9,2015,0,1,1,0
28,1,2,1,29,-2299.583333333333,19,7,2015,8,23,10,2015,3,1,1,0
19,1,4,0,44,-1379.1333333333334,10,5,2015,2,6,7,2015,13,1,1,0
21,1,1,1,25,-401.85,23,6,2015,23,10,7,2015,17,1,1,0
42,0,0,0,32,-195.33333333333331,8,6,2015,22,17,6,2015,2,1,1,0
74,0,0,0,26,-1275.4333333333334,26,4,2015,21,19,6,2015,0,1,1,0
57,2,2,1,19,-1622.3333333333333,28,6,2015,4,3,9,2015,18,1,1,0
53,1,4,0,55,-1166.9666666666667,25,5,2015,19,13,7,2015,10,1,1,0
57,2,0,0,24,-1810.0166666666669,23,1,2015,23,9,4,2015,9,1,1,0
24,0,0,0,24,-1253.85,9,2,2015,19,3,4,2015,1,1,1,0
42,2,2,1,22,-678.0,22,2,2015,22,23,3,2015,4,1,1,0
24,2,0,0,31,-1712.2166666666667,20,1,2015,5,1,4,2015,13,1,1,0
18,0,0,0,23,-422.76666666666665,24,4,2015,1,11,5,2015,15,1,1,0
9,2,4,1,24,-1410.5,9,1,2015,7,9,3,2015,2,1,1,0
38,2,2,1,53,-1095.95,11,4,2015,23,27,5,2015,15,1,1,0
17,0,2,1,32,-1878.2666666666669,18,6,2015,17,5,9,2015,0,1,1,0
64,2,4,1,47,-2296.983333333333,12,2,2015,10,19,5,2015,3,1,1,0
27,2,0,1,33,-840.5333333333333,6,5,2015,0,10,6,2015,1,1,1,0
36,0,4,0,39,-2627.85,30,5,2015,4,16,9,2015,15,1,1,0
97,2,2,1,21,-1474.65,10,7,2015,16,10,9,2015,3,1,1,0
26,0,0,1,29,-2540.083333333333,23,3,2015,21,7,7,2015,17,1,1,0
75,0,1,0,25,-2515.25,18,3,2015,22,1,7,2015,17,1,1,0
18,0,0,0,53,-1417.3833333333334,22,1,2015,23,23,3,2015,1,1,1,0
16,2,0,1,32,-1705.5833333333333,27,5,2015,12,6,8,2015,13,1,1,0
42,0,0,1,23,-2648.633333333333,25,3,2015,8,13,7,2015,17,1,1,0
39,2,2,1,40,0.0,3,1,2015,16,3,1,2015,16,1,1,1
32,2,1,1,35,-451.2,22,4,2015,23,11,5,2015,18,1,1,0
11,0,0,1,32,-246.4,18,5,2015,16,28,5,2015,23,1,1,0
37,0,2,1,26,-2460.4666666666667,5,7,2015,17,16,10,2015,5,1,1,0
22,2,1,0,42,-1674.8666666666666,14,7,2015,20,22,9,2015,15,1,1,0
33,1,4,1,45,-416.6,6,1,2015,15,24,1,2015,0,1,1,0
23,0,0,0,30,-2041.4,18,4,2015,1,12,7,2015,2,1,1,0
83,2,0,1,20,-1604.6,3,3,2015,20,9,5,2015,17,1,1,0
16,1,4,1,46,-1502.3833333333334,17,3,2015,22,19,5,2015,13,1,1,0
22,2,2,1,30,0.0,6,1,2015,21,6,1,2015,21,1,1,1
49,0,0,0,45,-1371.9,14,7,2015,22,10,9,2015,2,1,1,0
75,0,0,1,18,0.0,10,1,2015,1,10,1,2015,1,1,1,1
31,1,4,0,20,-1620.4333333333334,6,5,2015,3,12,7,2015,16,1,1,0
15,0,0,1,22,-360.85,20,1,2015,7,4,2,2015,8,1,1,0
13,0,2,0,23,-1877.7166666666667,3,1,2015,22,23,3,2015,4,1,1,0
23,2,2,0,21,-2730.2,24,2,2015,23,18,6,2015,18,1,1,0
47,2,3,1,37,-845.5833333333334,9,4,2015,13,14,5,2015,18,1,1,0
38,1,1,1,39,-2135.7166666666667,9,4,2015,17,7,7,2015,17,1,1,0
38,0,2,1,37,-184.38333333333333,18,3,2015,23,26,3,2015,15,1,1,0
17,0,0,0,38,-908.5833333333334,28,5,2015,15,5,7,2015,12,1,1,0
10,2,2,1,38,-2198.7166666666667,24,2,2015,16,27,5,2015,7,1,1,0
19,1,2,1,47,-2523.6666666666665,24,7,2015,9,6,11,2015,13,1,1,0
10,0,4,1,36,-1587.9333333333334,28,2,2015,19,5,5,2015,23,1,1,0
45,0,1,0,25,-1023.8166666666668,19,2,2015,9,3,4,2015,0,1,1,0
65,0,2,0,18,-1307.25,15,5,2015,17,9,7,2015,4,1,1,0
40,2,3,1,36,-1850.0,18,6,2015,5,3,9,2015,7,1,1,0
18,2,0,0,27,-2836.45,29,3,2015,21,26,7,2015,2,1,1,0
39,2,2,0,27,-917.25,17,8,2015,21,25,9,2015,3,1,1,0
61,2,0,0,25,-2291.7,10,8,2015,18,14,11,2015,6,1,1,0
29,2,1,1,38,-2527.4166666666665,28,3,2015,2,11,7,2015,9,1,1,0
31,2,0,0,29,-2601.616666666667,4,4,2015,10,21,7,2015,20,1,1,0
38,0,0,1,27,-1232.1833333333334,13,4,2015,6,3,6,2015,14,1,1,0
44,0,0,1,33,-630.3,20,1,2015,22,16,2,2015,4,1,1,0
12,1,0,1,34,-1808.8166666666664,2,2,2015,21,19,4,2015,6,1,1,0
79,0,4,0,53,-2155.75,2,6,2015,20,31,8,2015,16,1,1,0
47,1,2,1,37,-1679.0,22,4,2015,20,1,7,2015,19,1,1,0
11,0,2,0,22,-2573.3166666666666,8,1,2015,9,25,4,2015,15,1,1,0
15,0,4,1,30,-964.5666666666668,7,4,2015,4,17,5,2015,8,1,1,0
79,0,4,1,46,-619.1666666666666,10,3,2015,4,4,4,2015,23,1,1,0
26,2,4,1,34,-2589.7166666666667,21,4,2015,11,7,8,2015,8,1,1,0
59,1,0,1,50,-930.2166666666668,3,4,2015,15,12,5,2015,9,1,1,0
47,0,0,1,44,-651.1166666666667,14,8,2015,7,10,9,2015,10,1,1,0
52,2,4,1,37,-1462.0833333333333,3,1,2015,2,5,3,2015,0,1,1,1
28,2,0,0,35,-1831.6333333333332,6,7,2015,1,20,9,2015,9,1,1,0
69,0,0,0,25,-2329.95,3,2,2015,3,11,5,2015,5,1,1,0
63,1,0,0,31,-845.8333333333334,7,7,2015,16,11,8,2015,22,1,1,0
38,0,2,1,18,-1700.95,7,6,2015,1,16,8,2015,22,1,1,0
87,0,4,1,30,-2697.483333333333,4,1,2015,19,27,4,2015,5,1,1,0
16,2,2,1,36,-2278.016666666667,11,2,2015,8,17,5,2015,6,1,1,0
38,1,0,1,47,-2865.016666666667,20,2,2015,0,19,6,2015,9,1,1,0
41,2,1,0,27,-430.05,12,4,2015,17,30,4,2015,15,1,1,0
37,2,0,1,41,-1299.8666666666666,6,7,2015,0,29,8,2015,4,1,1,0
30,0,0,1,38,-2228.7,27,4,2015,22,29,7,2015,18,1,1,0
45,2,0,1,25,-279.18333333333334,8,7,2015,13,20,7,2015,4,1,1,0
13,0,1,0,24,-1529.9833333333331,18,4,2015,12,21,6,2015,6,1,1,0
33,0,0,1,29,-399.4333333333333,28,3,2015,12,14,4,2015,4,1,1,0
104,2,1,1,37,-2713.5666666666666,10,5,2015,15,31,8,2015,17,1,1,0
33,2,4,0,29,-2505.383333333333,30,6,2015,10,12,10,2015,19,1,1,0
32,0,0,0,26,-1656.85,24,7,2015,11,1,10,2015,12,1,1,0
38,2,0,0,37,-1867.0833333333333,10,4,2015,14,27,6,2015,9,1,1,0
23,2,3,1,58,-1757.8833333333334,17,4,2015,23,30,6,2015,5,1,1,0
28,2,1,1,28,-2400.5333333333333,26,6,2015,7,4,10,2015,8,1,1,0
58,2,0,1,31,-579.85,7,8,2015,18,31,8,2015,22,1,1,0
11,0,3,1,28,-560.2666666666667,15,1,2015,20,8,2,2015,4,1,1,0
23,2,0,1,39,0.0,4,1,2015,16,4,1,2015,16,1,1,1
58,2,0,1,24,-61.13333333333333,5,8,2015,6,7,8,2015,19,1,1,0
31,2,1,1,46,-2779.4,23,1,2015,21,19,5,2015,16,1,1,1
21,0,4,0,28,-2109.9333333333334,20,3,2015,18,16,6,2015,16,1,1,0
35,1,0,0,34,-1285.8333333333333,30,4,2015,13,23,6,2015,3,1,1,0
35,0,0,1,27,-2009.6166666666663,17,5,2015,6,9,8,2015,0,1,1,0
85,2,2,1,34,-442.2166666666666,19,5,2015,8,6,6,2015,18,1,1,0
26,0,4,1,24,-804.0666666666667,4,3,2015,17,7,4,2015,5,1,1,1
39,0,1,1,30,-1883.1833333333332,16,8,2015,7,2,11,2015,18,1,1,0
14,2,3,0,45,-2475.15,30,1,2015,2,13,5,2015,5,1,1,0
32,2,2,1,38,-88.1,5,1,2015,22,9,1,2015,14,1,1,0
52,0,2,0,33,-2286.266666666667,27,4,2015,6,31,7,2015,12,1,1,0
53,2,1,1,33,-639.7833333333333,31,3,2015,18,27,4,2015,10,1,1,0
34,2,2,0,19,-1990.5666666666664,10,7,2015,19,1,10,2015,18,1,1,0
33,2,4,1,35,-512.6333333333333,30,6,2015,22,22,7,2015,6,1,1,0
41,0,4,1,31,-1322.8833333333334,15,4,2015,21,10,6,2015,0,1,1,0
25,1,0,0,24,-2846.4333333333334,28,6,2015,0,24,10,2015,15,1,1,0
30,2,2,1,24,-2253.4,8,4,2015,1,10,7,2015,23,1,1,0
60,0,2,0,36,-1013.0333333333332,7,5,2015,7,18,6,2015,12,1,1,0
44,0,0,1,35,-258.3833333333333,4,8,2015,9,15,8,2015,3,1,1,0
13,1,0,1,24,-987.6833333333332,16,8,2015,11,26,9,2015,15,1,1,0
15,1,0,1,42,-2617.483333333333,13,2,2015,7,2,6,2015,9,1,1,0
25,2,2,1,31,-398.7,10,4,2015,14,27,4,2015,5,1,1,0
33,2,0,1,30,-2435.2166666666667,5,1,2015,8,16,4,2015,20,1,1,0
25,1,1,1,37,-1558.3,23,3,2015,0,26,5,2015,23,1,1,0
19,0,0,1,38,-2828.4666666666667,8,6,2015,5,4,10,2015,1,1,1,0
29,1,2,1,39,-2395.616666666667,26,5,2015,13,3,9,2015,9,1,1,0
11,2,0,0,22,-2878.3,16,1,2015,1,15,5,2015,23,1,1,0
84,0,2,0,21,-2526.483333333333,10,1,2015,13,25,4,2015,20,1,1,0
54,0,0,1,39,-1169.4,28,6,2015,1,15,8,2015,18,1,1,1
29,0,0,1,24,-986.5,2,4,2015,15,13,5,2015,17,1,1,0
14,0,2,0,38,-369.8,26,6,2015,4,11,7,2015,14,1,1,0
20,2,0,0,19,0.0,6,1,2015,6,6,1,2015,6,1,1,1
32,2,0,0,28,0.0,7,1,2015,14,7,1,2015,14,1,1,1
38,0,4,1,24,-1931.7166666666667,5,1,2015,19,27,3,2015,7,1,1,0
24,0,2,0,35,-202.06666666666663,6,3,2015,3,14,3,2015,13,1,1,0
18,2,1,0,28,-2296.983333333333,20,1,2015,8,26,4,2015,1,1,1,0
33,1,4,0,30,-208.58333333333331,18,5,2015,10,27,5,2015,2,1,1,0
11,2,4,1,30,-0.0166666666666666,11,1,2015,21,11,1,2015,21,1,1,1
43,2,2,1,41,-1902.95,2,6,2015,9,20,8,2015,16,1,1,0
79,0,2,0,26,-761.0666666666667,11,8,2015,17,12,9,2015,10,1,1,0
32,2,2,0,49,-2813.4333333333334,3,6,2015,15,28,9,2015,20,1,1,0
61,0,2,1,39,-861.0333333333333,18,5,2015,14,23,6,2015,11,1,1,0
42,0,2,0,24,-1634.9166666666667,13,1,2015,5,22,3,2015,8,1,1,0
28,0,0,1,24,-2149.383333333333,20,4,2015,10,19,7,2015,0,1,1,0
57,2,0,1,40,-1866.3833333333332,14,4,2015,13,1,7,2015,7,1,1,0
34,2,0,1,31,-837.35,8,8,2015,2,11,9,2015,23,1,1,0
35,0,1,0,27,-2594.0333333333333,12,4,2015,1,29,7,2015,3,1,1,0
17,2,4,1,31,-2326.483333333333,4,2,2015,4,12,5,2015,2,1,1,0
52,0,0,1,20,-726.0,21,5,2015,3,20,6,2015,9,1,1,0
32,2,1,0,36,-1775.05,8,8,2015,12,21,10,2015,11,1,1,1
53,2,2,0,19,-570.45,2,1,2015,3,25,1,2015,22,1,1,1
10,0,0,1,46,-1479.75,12,7,2015,14,12,9,2015,6,1,1,1
41,0,4,1,20,-2054.483333333333,20,1,2015,13,16,4,2015,4,1,1,0
30,0,2,1,41,-2485.5666666666666,15,2,2015,18,30,5,2015,8,1,1,0
17,1,0,0,39,-467.3333333333333,2,6,2015,1,21,6,2015,12,1,1,0
44,0,0,1,21,-1081.8333333333333,18,3,2015,3,2,5,2015,5,1,1,0
16,1,0,1,36,0.0,11,1,2015,15,11,1,2015,15,1,1,1
50,1,0,1,38,-292.9833333333333,19,4,2015,18,1,5,2015,23,1,1,0
39,0,1,1,27,-191.1,27,2,2015,8,7,3,2015,7,1,1,0
10,0,0,1,20,-322.8,7,4,2015,6,20,4,2015,16,1,1,0
36,2,0,1,45,-2872.7,3,6,2015,18,1,10,2015,11,1,1,0
33,0,1,1,22,-2863.766666666667,26,6,2015,7,23,10,2015,15,1,1,0
33,0,0,1,29,-661.2166666666667,12,3,2015,11,9,4,2015,1,1,1,0
57,2,2,0,27,-179.61666666666667,9,5,2015,20,17,5,2015,7,1,1,0
59,2,1,0,18,-1937.0333333333333,7,6,2015,22,27,8,2015,15,1,1,0
24,2,4,0,26,-551.7333333333333,20,2,2015,22,15,3,2015,22,1,1,0
52,2,0,1,38,0.0,6,1,2015,12,6,1,2015,12,1,1,1
12,2,2,1,18,-2107.65,23,1,2015,12,21,4,2015,8,1,1,0
31,1,0,0,30,-2537.6666666666665,16,1,2015,4,1,5,2015,21,1,1,0
14,0,1,0,28,-1979.05,11,7,2015,11,1,10,2015,23,1,1,0
63,2,1,0,41,0.0,10,1,2015,15,10,1,2015,15,1,1,1
17,1,0,1,47,-2280.766666666667,18,6,2015,13,21,9,2015,14,1,1,0
44,1,0,1,31,-2527.0,24,1,2015,22,10,5,2015,5,1,1,0
53,2,2,1,30,-1700.3166666666666,17,4,2015,16,27,6,2015,12,1,1,1
22,0,4,0,50,-2567.0666666666666,26,7,2015,3,10,11,2015,2,1,1,0
30,2,0,1,24,-1003.4666666666668,4,2,2015,15,18,3,2015,10,1,1,1
31,2,3,0,29,-1350.8333333333333,6,8,2015,9,1,10,2015,16,1,1,0
44,0,0,1,19,-297.78333333333336,30,5,2015,10,11,6,2015,20,1,1,0
25,0,0,0,45,-2312.516666666667,18,2,2015,7,25,5,2015,15,1,1,0
46,1,2,0,33,-2874.9166666666665,20,3,2015,20,18,7,2015,14,1,1,0
52,0,4,1,28,-94.86666666666666,22,4,2015,18,26,4,2015,17,1,1,0
9,1,0,1,36,-393.31666666666666,4,2,2015,14,20,2,2015,23,1,1,0
37,2,1,1,18,-2106.6,13,3,2015,9,9,6,2015,4,1,1,0
17,2,4,1,27,-2393.516666666667,4,8,2015,22,12,11,2015,16,1,1,0
36,2,1,0,34,-656.1666666666666,6,8,2015,12,2,9,2015,20,1,1,0
69,2,4,0,30,0.0,7,1,2015,0,7,1,2015,0,1,1,1
21,0,2,0,47,-118.23333333333332,18,7,2015,13,23,7,2015,11,1,1,0
33,1,4,0,43,-383.8666666666667,19,4,2015,9,5,5,2015,8,1,1,0
49,2,4,0,35,-2651.9,3,7,2015,3,21,10,2015,15,1,1,0
34,0,1,0,23,-2389.5333333333333,28,7,2015,5,4,11,2015,19,1,1,0
44,2,2,1,19,-2679.6833333333334,23,6,2015,4,12,10,2015,20,1,1,0
55,2,1,1,31,-1224.45,25,5,2015,4,15,7,2015,4,1,1,0
30,0,0,0,36,-346.46666666666664,6,3,2015,14,21,3,2015,0,1,1,0
55,2,4,0,38,-2530.333333333333,12,3,2015,0,25,6,2015,10,1,1,0
18,0,0,0,41,-474.53333333333336,11,8,2015,13,31,8,2015,7,1,1,0
100,1,2,1,34,-1375.4166666666667,10,1,2015,14,8,3,2015,21,1,1,0
37,0,0,0,53,-370.2,21,7,2015,21,6,8,2015,7,1,1,0
57,2,1,0,32,-549.9833333333333,13,8,2015,7,5,9,2015,5,1,1,0
30,0,0,1,32,-720.6666666666666,22,5,2015,5,21,6,2015,6,1,1,0
46,0,4,0,36,-1258.8666666666666,4,2,2015,0,28,3,2015,10,1,1,0
46,0,4,1,29,-2230.5333333333333,5,8,2015,9,6,11,2015,8,1,1,1
33,2,0,1,25,-2785.15,22,4,2015,19,16,8,2015,20,1,1,0
35,0,0,0,24,-2392.55,4,5,2015,9,12,8,2015,2,1,1,0
29,0,0,1,43,-2522.4,18,5,2015,21,1,9,2015,0,1,1,0
58,0,0,1,34,-433.26666666666665,29,3,2015,10,16,4,2015,11,1,1,0
57,0,2,0,34,-2677.883333333333,8,5,2015,19,28,8,2015,8,1,1,0
33,1,2,0,47,0.0,9,1,2015,22,9,1,2015,22,1,1,1
33,1,4,1,18,-2345.516666666667,21,3,2015,12,27,6,2015,6,1,1,0
48,0,1,0,39,-1569.1333333333334,2,8,2015,17,7,10,2015,2,1,1,0
54,0,2,0,37,-1771.9666666666667,23,5,2015,11,5,8,2015,7,1,1,0
14,2,2,1,19,-129.0,19,2,2015,1,24,2,2015,10,1,1,0
34,0,2,1,26,-787.4333333333333,25,3,2015,13,27,4,2015,9,1,1,0
54,0,0,1,28,-857.0833333333334,15,5,2015,10,20,6,2015,3,1,1,1
22,2,2,1,31,-392.8,23,6,2015,0,9,7,2015,8,1,1,0
18,0,0,1,29,-1873.8833333333332,15,6,2015,4,1,9,2015,6,1,1,0
39,0,1,1,42,-2273.6833333333334,12,4,2015,13,16,7,2015,7,1,1,0
24,0,4,1,29,-1150.85,20,6,2015,16,7,8,2015,15,1,1,0
18,0,0,0,33,-517.4166666666666,28,5,2015,3,18,6,2015,17,1,1,0
31,0,2,1,33,-515.4,8,2,2015,13,2,3,2015,1,1,1,0
18,1,2,1,21,-1192.45,13,2,2015,12,4,4,2015,4,1,1,0
73,1,0,1,20,-233.95,8,6,2015,0,17,6,2015,18,1,1,1
